age,experience,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
20.0,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,16,5.0,9.0,2.0,4.3,3.0,4.7,0.3,0.3,1.7,2.3,4.0,1.3,0.7,0.3,1.3,2.3,12.3
27.0,6,5.7,10.3,3.0,5.0,2.7,5.3,0.7,0.7,1.0,3.7,4.7,1.3,1.0,0.0,1.3,2.7,15.0
25.0,5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
31.0,8,4.3,11.0,3.0,7.3,1.3,3.7,0.0,0.0,1.0,1.7,2.7,4.3,0.3,0.7,1.3,0.3,11.7
32.0,11,6.3,16.0,3.3,8.7,3.0,7.3,2.3,3.3,1.0,3.3,4.3,6.0,2.3,0.3,1.0,2.0,18.3
22.0,3,7.8,18.5,2.5,6.3,5.3,12.3,3.0,3.5,0.3,2.5,2.8,7.5,0.5,0.3,5.3,3.8,21.0
21.0,2,1.5,3.5,1.0,3.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5
28.0,5,1.0,7.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0
24.0,5,1.0,3.0,0.3,1.8,0.8,1.3,0.5,0.5,0.5,1.5,2.0,0.5,0.3,0.3,0.5,1.0,2.8
22.0,3,11.7,19.0,1.3,4.3,10.3,14.7,8.3,10.0,0.0,4.0,4.0,2.0,0.7,0.3,1.0,2.0,33.0
19.0,1,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
27.0,5,5.0,10.0,1.0,4.0,4.0,6.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,0.0,2.0,1.0,12.0
29.0,9,2.3,3.7,1.7,2.7,0.7,1.0,0.0,0.0,0.3,0.3,0.7,0.3,0.3,0.0,0.7,2.3,6.3
29.0,8,7.7,20.3,3.3,9.0,4.3,11.3,1.0,3.0,0.7,2.7,3.3,5.0,1.0,0.7,1.0,1.3,19.7
20.0,1,3.0,3.5,1.3,1.5,1.8,2.0,1.0,1.0,0.5,2.3,2.8,1.0,0.3,0.5,0.5,1.5,8.3
28.0,7,4.5,7.8,2.3,4.5,2.3,3.3,0.5,0.8,0.0,1.3,1.3,1.3,0.5,0.5,0.8,1.0,11.8
23.0,3,1.3,1.8,0.0,0.0,1.3,1.8,0.0,0.0,1.0,3.0,4.0,1.0,0.5,0.5,0.5,1.8,2.5
21.0,1,5.0,8.3,2.5,4.0,2.5,4.3,2.5,3.3,0.8,5.5,6.3,2.0,1.0,2.8,1.5,3.3,15.0
26.0,6,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
31.0,7,1.7,4.7,0.0,0.7,1.7,4.0,3.0,3.3,1.7,4.0,5.7,0.3,0.3,0.3,1.0,2.3,6.3
26.0,3,2.0,5.3,1.0,3.3,1.0,2.0,0.7,1.0,0.3,1.3,1.7,1.3,0.7,0.0,0.3,4.0,5.7
38.0,19,4.5,11.3,0.3,4.0,4.3,7.3,2.0,2.3,0.3,4.5,4.8,8.3,2.0,0.0,1.5,0.8,11.3
22.0,2,3.0,7.0,0.5,2.3,2.5,4.8,1.5,2.3,1.0,4.5,5.5,3.3,0.8,0.5,0.8,1.0,8.0
28.0,8,2.8,5.0,0.8,2.3,2.0,2.8,2.3,3.3,1.0,6.0,7.0,1.3,0.0,0.8,1.3,1.5,8.5
25.0,4,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.5,2.0,0.0,0.0,0.0,0.5,0.0,1.0
29.0,10,4.3,8.8,0.0,0.0,4.3,8.8,2.0,2.5,3.8,7.0,10.8,1.0,0.5,1.5,1.0,2.0,10.5
23.0,5,3.0,9.8,1.3,5.0,1.8,4.8,2.5,2.8,0.3,3.3,3.5,4.0,0.5,0.0,1.3,2.5,9.8
